date,base_rate,mortgage_rate,trade_volume
2020-01,1.25,2.42,6500
2020-02,1.25,2.47,8403
2020-03,0.75,2.43,4634
2020-04,0.75,2.55,3165
2020-05,0.5,2.52,5819
2020-06,0.5,2.52,16404
2020-07,0.5,2.5,11168
2020-08,0.5,2.43,5166
2020-09,0.5,2.46,3929
2020-10,0.5,2.46,4579
2020-11,0.5,2.52,6510
2020-12,0.5,2.51,7740
2021-01,0.5,2.57,5956
2021-02,0.5,2.62,3997
2021-03,0.5,2.71,3885
2021-04,0.5,2.71,3761
2021-05,0.5,2.74,5049
2021-06,0.5,2.83,4056
2021-07,0.5,2.92,4800
2021-08,0.75,2.98,4205
2021-09,0.75,3.11,2801
2021-10,0.75,3.38,2296
2021-11,1,3.55,1444
2021-12,1,3.58,1179
2022-01,1.25,3.83,1143
2022-02,1.25,3.88,857
2022-03,1.25,3.84,1563
2022-04,1.5,3.98,1838
2022-05,1.75,4.02,1844
2022-06,1.75,4.17,1146
2022-07,2.25,4.22,692
2022-08,2.5,4.36,805
2022-09,2.5,4.86,658
2022-10,3,4.82,577
2022-11,3.25,4.63,768
2022-12,3.25,4.5,910
2023-01,3.5,4.48,1497
2023-02,3.5,4.5,2556
2023-03,3.5,4.35,3110
2023-04,3.5,4.21,3335
2023-05,3.5,4.18,3490
2023-06,3.5,4.23,4032
2023-07,3.5,4.25,3758
2023-08,3.5,4.28,4052
2023-09,3.5,4.33,3520
2023-10,3.5,4.55,2424
2023-11,3.5,4.43,1934
2023-12,3.5,4.09,1875
2024-01,3.5,3.94,2693
2024-02,3.5,3.93,2729
2024-03,3.5,3.9,4465
2024-04,3.5,3.91,4657
2024-05,3.5,3.89,5320
2024-06,3.5,3.69,7961
2024-07,3.5,3.48,9265
2024-08,3.5,3.49,6560
2024-09,3.5,3.72,3197
2024-10,3.25,4.04,3934
2024-11,3,4.31,3558
2024-12,3,4.23,3395
2025-01,3,4.26,3589
2025-02,2.75,4.22,6818
2025-03,2.75,4.15,10692
2025-04,2.75,3.96,5757
2025-05,2.5,3.86,8562
2025-06,2.5,3.92,12611
2025-07,2.5,3.95,4635
2025-08,2.5,3.94,4613
2025-09,2.5,3.94,9081
2025-10,2.5,3.97,8943
2025-11,2.5,4.17,3520
2025-12,2.5,4.22,4929
