date,mortgage_rate
2020-01,2.42
2020-02,2.47
2020-03,2.43
2020-04,2.55
2020-05,2.52
2020-06,2.52
2020-07,2.5
2020-08,2.43
2020-09,2.46
2020-10,2.46
2020-11,2.52
2020-12,2.51
2021-01,2.57
2021-02,2.62
2021-03,2.71
2021-04,2.71
2021-05,2.74
2021-06,2.83
2021-07,2.92
2021-08,2.98
2021-09,3.11
2021-10,3.38
2021-11,3.55
2021-12,3.58
2022-01,3.83
2022-02,3.88
2022-03,3.84
2022-04,3.98
2022-05,4.02
2022-06,4.17
2022-07,4.22
2022-08,4.36
2022-09,4.86
2022-10,4.82
2022-11,4.63
2022-12,4.5
2023-01,4.48
2023-02,4.5
2023-03,4.35
2023-04,4.21
2023-05,4.18
2023-06,4.23
2023-07,4.25
2023-08,4.28
2023-09,4.33
2023-10,4.55
2023-11,4.43
2023-12,4.09
2024-01,3.94
2024-02,3.93
2024-03,3.9
2024-04,3.91
2024-05,3.89
2024-06,3.69
2024-07,3.48
2024-08,3.49
2024-09,3.72
2024-10,4.04
2024-11,4.31
2024-12,4.23
2025-01,4.26
2025-02,4.22
2025-03,4.15
2025-04,3.96
2025-05,3.86
2025-06,3.92
2025-07,3.95
2025-08,3.94
2025-09,3.94
2025-10,3.97
2025-11,4.17
2025-12,4.22
