date,trade_volume
2020-01,6500
2020-02,8403
2020-03,4634
2020-04,3165
2020-05,5819
2020-06,16404
2020-07,11168
2020-08,5166
2020-09,3929
2020-10,4579
2020-11,6510
2020-12,7740
2021-01,5956
2021-02,3997
2021-03,3885
2021-04,3761
2021-05,5049
2021-06,4056
2021-07,4800
2021-08,4205
2021-09,2801
2021-10,2296
2021-11,1444
2021-12,1179
2022-01,1143
2022-02,857
2022-03,1563
2022-04,1838
2022-05,1844
2022-06,1146
2022-07,692
2022-08,805
2022-09,658
2022-10,577
2022-11,768
2022-12,910
2023-01,1497
2023-02,2556
2023-03,3110
2023-04,3335
2023-05,3490
2023-06,4032
2023-07,3758
2023-08,4052
2023-09,3520
2023-10,2424
2023-11,1934
2023-12,1875
2024-01,2693
2024-02,2729
2024-03,4465
2024-04,4657
2024-05,5320
2024-06,7961
2024-07,9265
2024-08,6560
2024-09,3197
2024-10,3934
2024-11,3558
2024-12,3395
2025-01,3589
2025-02,6818
2025-03,10692
2025-04,5757
2025-05,8562
2025-06,12611
2025-07,4635
2025-08,4613
2025-09,9081
2025-10,8943
2025-11,3520
2025-12,4929
